Country,country_ISO_alpha3,IHH Tier,IHH Data Source,FAO Region,FAO Sub-Region,Fisheries (Inland/Marine),Country Area CFalvo (sq. Km),Proportion_ArcticZone,Proportion_BorealZone,Proportion_SubtropicZone,Proportion_TemperateZone,Proportion_TropicsZone,Proportion_UndefinedZone,Total Population 2018,GDP 2018,HDI 2018,HDI category 2018,GINI 2017,GNI per capita 2018,"Poverty Headcount Ratio 
(@ national poverty lines) 2018 ",Rural Poverty Headcount Ratio (@ national poverty lines) 2015,Literacy Rate 2018,LIFDC_2018,Corruption Perceptions Index 2018,corruption,WGI Control of Corruption Index Standard Error 2018,gov_effectiveness,Government Effectiveness Standard Error 2018,political_stability,Political Stability and Absence of Violence Standard Error 2018,regulatory_quality,Regulatory Quality Standard Error 2018,rule_of_law,WGI Rule of Law Index Standard Error 2018,voice_accountability,WGI Voice and Accountability Index Standard Error 2018,Total Natural Resource Rents (% of GDP) 2017,% of Territorial Waters in MPA 2018,LeastDeveloped_2018,LandLockedDeveloping_2018,SmallIslandDeveloping_2018
Ghana,GHA,1,AQ_CCS,Africa,West Africa,IM,239089,0,0,0,0,1,0,29767108,65556464056,0.596,medium,ND,2130,ND,ND,79.03964,yes,41,-0.1149039,0.1273428,-0.2102704,0.1805988,0.0298971,0.2157381,-0.0800039,0.1665556,0.0718521,0.1387609,0.5787039,0.1242243,13.05817098,0.09740621,NA,NA,NA
Gibraltar,GIB,4,No_AQ_CCS,Europe,Southern Europe,M,10.404,NA,NA,NA,NA,NA,NA,33718,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,12.82172751,NA,NA,NA
Guinea,GIN,3,CCS,Africa,West Africa,IM,245474,0,0,0,0,1,0.00E+00,12414318,10989790256,0.466,low,ND,830,ND,ND,ND,yes,28,-1.041717,0.1366014,-0.9709232,0.1805988,-0.8766674,0.225094,-0.7780002,0.1755035,-1.211506,0.1458903,-0.7536743,0.1314224,20.18461883,0.529571455,yes,NA,NA
Guadeloupe,GLP,4,No_AQ_CCS,Americas,Caribbean,M,2005.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
Gambia,GMB,2,CCS,Africa,West Africa,IM,11071,0,0,0,0,1,0,2280102,1624464137,0.466,low,ND,700,ND,ND,ND,yes,37,-0.4630391,0.1413654,-0.6234712,0.1889838,-0.0295531,0.225771,-0.6317748,0.1777096,-0.4307549,0.1519615,-0.1971968,0.1350911,5.752880114,0.069677127,yes,NA,NA
Guinea Bissau,GNB,4,CCS,Africa,West Africa,IM,35354.7,0,0,0,0,0.999925781,7.42E-05,1874309,1458156026,0.461,low,ND,750,ND,ND,ND,yes,16,-1.533724,0.1658797,-1.48785,0.2213432,-0.6697532,0.2512817,-1.198666,0.1913441,-1.234043,0.2169881,-0.6663399,0.1361283,16.32659839,10.00941245,yes,NA,yes
Equatorial Guinea,GNQ,4,No_AQ_CCS,Africa,Middle Africa,IM,27227.4,0,0,0,0,1,0,1308974,13317453070,0.588,medium,ND,7050,ND,ND,ND,NA,16,-1.559684,0.2119553,-1.29438,0.2363903,-0.0511222,0.239692,-1.557606,0.2181228,-1.41511,0.176928,-1.864524,0.1416042,24.2512288,0.235115094,yes,NA,NA
Greece,GRC,3,No_AQ_CCS,Europe,Southern Europe,IM,139870,0,0,0.80308867,0.195515119,0,0.001396211,10727668,2.18E+11,0.872,very high,ND,19600,ND,ND,ND,NA,45,-0.0660259,0.1434279,0.3382609,0.2221446,0.0925857,0.211271,0.2950006,0.2226358,0.1529743,0.1569692,0.8573366,0.1455305,0.125129738,4.517865365,NA,NA,NA
Grenada,GRD,4,No_AQ_CCS,Americas,Caribbean,M,387.181,0,0,0,0,1,0,111454,1207454556,0.763,high,ND,9780,ND,ND,ND,NA,52,0.3765373,0.208581,-0.2529525,0.3347234,0.9976301,0.2550432,-0.2930871,0.2602793,0.3104176,0.2501756,0.5344329,0.2332783,0,0.086250272,NA,NA,NA
Greenland,GRL,1,CCS,Americas,North America,M,459870,NA,NA,NA,NA,NA,NA,56025,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,1.177301,0.345219,0.8380827,0.4375256,1.939219,0.3751861,1.37654,0.4818063,1.738418,0.2304213,1.305925,0.2493472,ND,4.518739185,NA,NA,NA
Guatemala,GTM,4,AQ,Americas,Central America,IM,109159,0,0,0,0,1,0,17247807,78460447920,0.651,medium,ND,4410,ND,ND,ND,NA,27,-0.8228126,0.1219236,-0.6820061,0.191959,-0.541353,0.2157381,-0.1955709,0.1817735,-1.050815,0.144388,-0.3424338,0.1282128,2.029228413,0.900143644,NA,NA,NA
French Guiana,GUF,4,No_AQ_CCS,Americas,South America,M,83329.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9525164,0.2826696,1.397863,0.3318715,0.5304107,0.2534463,1.304064,0.3641367,1.210384,0.2123641,1.305925,0.2493472,NA,NA,NA,NA,NA
Guam,GUM,4,AQ,Asia,Micronesia,M,636.466,NA,NA,NA,NA,NA,NA,165768,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,1.238614,0.4023822,0.2727026,0.4585745,0.6334171,0.2825343,0.082563,0.4940268,1.363964,0.4841593,ND,ND,0,0.009067416,NA,NA,NA
Guyana,GUY,3,No_AQ_CCS,Americas,South America,IM,210471,0,0,0,0,1,0,779004,3610435299,0.67,medium,ND,4760,ND,ND,ND,NA,37,-0.2266977,0.1506581,-0.2694839,0.2506322,-0.1750658,0.224247,-0.5320596,0.2072607,-0.320109,0.1643115,0.2575835,0.1489947,25.33049343,0.012712372,NA,NA,yes
China Hong Kong SAR,HKG,4,No_AQ_CCS,Asia,Eastern Asia,IM,1432.72,NA,NA,NA,NA,NA,NA,7451000,3.63E+11,0.939,very high,ND,50310,ND,ND,ND,NA,76,1.676441,0.1433421,1.903607,0.2221446,0.7943653,0.2392333,2.206004,0.2226358,1.771396,0.1588832,0.468593,0.1536049,0.001194072,ND,NA,NA,NA
Honduras,HND,4,No_AQ_CCS,Americas,Central America,IM,113670,0,0,0,0,0.999992706,7.29E-06,9587522,23803230473,0.623,medium,50.5,2330,61.9,ND,87.20524,NA,29,-0.6164857,0.1219236,-0.6206585,0.191959,-0.550988,0.2157381,-0.4688137,0.1817735,-1.023039,0.144388,-0.5083182,0.1282128,2.09204233,4.157067601,NA,NA,NA
Croatia,HRV,4,AQ,Europe,Southern Europe,IM,58629.4,0,0,0.16757695,0.832389996,0,3.31E-05,4089400,60805659436,0.837,very high,ND,13830,ND,ND,ND,NA,48,0.1316391,0.1267572,0.4569183,0.1982992,0.7688776,0.211271,0.4473468,0.180271,0.324786,0.1338652,0.5019643,0.1279276,0.668775095,8.541084909,NA,NA,NA
Haiti,HTI,3,No_AQ_CCS,Americas,Caribbean,IM,28145.6,0,0,0,0,0.999700792,0.000299208,11123176,9658084644,0.503,low,ND,800,ND,ND,ND,yes,20,-1.265189,0.1427448,-1.909054,0.2063741,-0.6268144,0.2209855,-1.224258,0.1935906,-1.028031,0.1567964,-0.7454833,0.1379577,1.235212589,0,yes,NA,yes
Hungary,HUN,4,AQ,Europe,Eastern Europe,I,92995.7,0,0,0,1,0,0,9768785,1.56E+11,0.845,very high,ND,14590,ND,ND,ND,NA,46,0.053347,0.1309793,0.4873109,0.2132453,0.7552119,0.211271,0.6022686,0.1982157,0.555392,0.1409364,0.3183424,0.1309706,0.290070996,ND,NA,NA,NA
Indonesia,IDN,1,CCS,Oceania,South-Eastern Asia,IM,1941790,0,0,0,0,0.99993791,6.21E-05,267663435,1.04E+12,0.707,high,38.1,3840,9.8,ND,95.65856,NA,38,-0.2515447,0.12446,0.1798754,0.1955121,-0.5334369,0.211271,-0.0712725,0.1753201,-0.3149146,0.1448283,0.1797367,0.1296873,3.484669877,3.05732315,NA,NA,NA
Isle of Man,IMN,4,No_AQ_CCS,Europe,Western Europe,M,639.23,NA,NA,NA,NA,NA,NA,84077,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,ND,NA,NA,NA
India,IND,1,CCS,Asia,Southern Asia,IM,3274140,0,0,0.333438166,0,0.666513143,4.87E-05,1352617328,2.73E+12,0.647,medium,ND,2020,ND,ND,74.37299,yes,41,-0.186293,0.12446,0.2830485,0.1955121,-0.9565214,0.211271,-0.1836544,0.1753201,0.0262165,0.1448283,0.3788327,0.1296873,2.142972297,0.17070585,NA,NA,NA
Ireland,IRL,3,AQ,Europe,Western Europe,IM,72706.1,0,0,0,0.999947766,0,5.22E-05,4853506,3.82E+11,0.942,very high,ND,59770,ND,ND,ND,NA,73,1.547376,0.1593191,1.420338,0.2221446,1.030591,0.2161918,1.595356,0.2454936,1.464224,0.1675214,1.31875,0.1552453,0.139401921,2.332110624,NA,NA,NA
Iran,IRN,1,CCS,Asia,Western Asia,IM,1623780,0,0,0.903490145,0.031329872,0.034102448,3.11E-02,81800269,ND,0.797,high,ND,ND,ND,ND,ND,NA,28,-0.9588165,0.1385525,-0.4302173,0.2233855,-1.306763,0.2157381,-1.296409,0.2002183,-0.6936132,0.1601298,-1.317932,0.1311201,17.77855481,0.804553422,NA,NA,NA
Iraq,IRQ,4,AQ,Asia,Western Asia,IM,434736,0,0,0.997677227,0.002322772,0,0,38433600,2.26E+11,0.689,medium,ND,5030,ND,ND,50.14052,NA,18,-1.399408,0.1513708,-1.320548,0.2219135,-2.55586,0.225094,-1.218958,0.2069049,-1.759291,0.1664428,-0.987156,0.1368405,37.97833752,0,NA,NA,NA
Iceland,ISL,1,AQ,Europe,Western Europe,IM,105810,0.272139237,0.722589929,0,0.005235323,0,3.55E-05,353574,25882218777,0.938,very high,ND,67950,ND,ND,ND,NA,76,1.843649,0.1593191,1.465655,0.2221446,1.412426,0.2161918,1.417764,0.2454936,1.719734,0.1675214,1.412682,0.1552453,0.00023957,0.380335278,NA,NA,NA
Israel,ISR,4,No_AQ_CCS,Asia,Western Asia,IM,22435.7,0.029497476,0,0.970502524,0,0,0,8883800,3.70E+11,0.906,very high,ND,40850,ND,ND,ND,NA,61,0.7865694,0.1593191,1.208207,0.2221446,-0.9324778,0.2161918,1.247308,0.2454936,0.9939096,0.1675214,0.6511905,0.1552453,0.141124184,0.032551937,NA,NA,NA
Italy,ITA,3,No_AQ_CCS,Europe,Southern Europe,IM,304892,0,0,0.670401543,0.329594185,0,4.27E-06,60431283,2.07E+12,0.883,very high,ND,33540,ND,ND,99.15576,NA,52,0.2356188,0.1434279,0.4138835,0.2221446,0.3111933,0.211271,0.6714953,0.2226358,0.2467615,0.1569692,1.045518,0.1437459,0.071201821,8.794648495,NA,NA,NA
Jamaica,JAM,4,No_AQ_CCS,Americas,Caribbean,IM,11459.4,0,0,0,0,0.99992643,7.36E-05,2934855,15717858487,0.726,high,ND,4990,ND,ND,ND,NA,44,-0.1643905,0.1374016,0.4967112,0.2117915,0.4869154,0.2157381,0.2784449,0.1873093,-0.2359448,0.148726,0.6169987,0.132454,1.212481097,0.754597261,NA,NA,NA
Jordan,JOR,4,No_AQ_CCS,Asia,Western Asia,IM,90088,0.011074744,0,0.988925256,0,0,0,9956011,42290832158,0.723,high,ND,4210,ND,ND,98.22711,NA,49,0.1495421,0.1293368,0.112718,0.1955121,-0.3794051,0.211271,0.0834205,0.1753201,0.2337911,0.1448283,-0.7017328,0.129805,0.72701362,35.5909103,NA,NA,NA
Japan,JPN,1,AQ_CCS,Asia,Eastern Asia,IM,385129,0,0.000169877,0.200840563,0.797497926,0.001453008,3.86E-05,126529100,4.97E+12,0.915,very high,ND,41340,ND,ND,ND,NA,73,1.424772,0.1390601,1.675817,0.2221446,1.059693,0.211271,1.329213,0.2226358,1.534107,0.1569692,1.022638,0.1455305,0.027970849,8.233762209,NA,NA,NA
Kazakhstan,KAZ,1,AQ,Asia,Central Asia,I,2673680,0,0,0,0.963884563,0,0.036115437,18276499,1.71E+11,0.817,very high,27.5,7830,ND,4.4,ND,NA,31,-0.5017262,0.1267572,0.0217204,0.1982992,0.0004052,0.211271,0.1406443,0.180271,-0.4316052,0.1338652,-1.171871,0.1279276,16.19345954,1.049212486,NA,yes,NA
Kenya,KEN,1,CCS,Africa,Eastern Africa,IM,580165,0,0,0,0,0.999995597,4.40E-06,51393010,87908262520,0.579,medium,ND,1620,ND,ND,81.53497,yes,27,-0.8520129,0.1273428,-0.4108523,0.1805988,-1.164113,0.2157381,-0.2266058,0.1665556,-0.4110505,0.1387609,-0.3606543,0.1242243,2.475375541,0.804183961,NA,NA,NA
Kyrgyzstan,KGZ,4,No_AQ_CCS,Asia,Central Asia,I,199600,0,0,0,1,0,0.00E+00,6315800,8092836609,0.674,medium,27.3,1220,ND,33.6,99.586,yes,29,-0.9542972,0.1436955,-0.6115379,0.2317764,-0.5820286,0.2284874,-0.3499378,0.1931404,-0.9076821,0.1443827,-0.3742365,0.1347864,8.453641445,ND,NA,yes,NA
Cambodia,KHM,1,CCS,Asia,South-Eastern Asia,IM,181909,0,0,0,0,0.999990725,9.27E-06,16249798,24571753583,0.581,medium,ND,1380,ND,ND,ND,NA,20,-1.325572,0.1428904,-0.568605,0.2191608,0.108229,0.2235309,-0.5049168,0.1903177,-1.114671,0.1523167,-1.221331,0.1345571,1.731379629,0.185767377,yes,NA,NA
Kiribati,KIR,1,No_AQ_CCS,Oceania,Micronesia,M,2333.65,0,0,0,0,0.97985892,2.01E-02,115847,188284518.8,0.623,medium,ND,3140,ND,ND,ND,NA,NA,0.3364136,0.3084422,-0.2764392,0.3491045,1.033781,0.2978511,-0.7703612,0.2906961,0.4933382,0.3165517,1.146016,0.2962991,0.081663788,11.81790064,yes,NA,yes
Saint Kitts and Nevis,KNA,2,AQ_CCS,Americas,Caribbean,M,340.776,0,0,0,0,1,0,52441,1039875050,0.777,high,ND,18640,ND,ND,ND,NA,NA,0.4525903,0.2648852,0.5514148,0.4585745,0.7104676,0.2550432,0.5108522,0.360859,0.5333768,0.3102893,0.8967314,0.2410059,0,0.169900822,NA,NA,NA
Korea Republic of,KOR,1,No_AQ_CCS,Asia,Eastern Asia,IM,104238,0,0,0.017147607,0.982759764,0,9.26E-05,51635256,1.62E+12,0.906,very high,ND,30600,ND,ND,ND,NA,57,0.6041095,0.1338417,1.182665,0.2132453,0.5449707,0.211271,1.094949,0.1982157,1.23655,0.154149,0.7960598,0.1309706,0.03439246,1.633640322,NA,NA,NA
Kuwait,KWT,4,No_AQ_CCS,Asia,Western Asia,M,17681.3,0,0,1,0,0,0,4137309,1.42E+11,0.808,very high,ND,33690,ND,ND,96.05647,NA,41,-0.2894283,0.1607612,-0.0878059,0.22757,0.1102895,0.2209855,-0.0356316,0.2258712,0.2107496,0.1724408,-0.5891867,0.1397908,37.13877149,1.479275644,NA,NA,NA
Lao PDR,LAO,1,CCS,Asia,South-Eastern Asia,I,229982,0,0,0,0,1,0.00E+00,7061507,18130724396,0.604,medium,ND,2460,ND,ND,ND,NA,29,-0.9826739,0.1663792,-0.672724,0.2215988,0.415007,0.2293836,-0.7918289,0.2040121,-0.8425543,0.1625107,-1.739436,0.1440084,10.18649863,ND,yes,yes,NA
Lebanon,LBN,4,AQ,Asia,Western Asia,IM,10443.8,0,0,1,0,0,0,6848925,56639155556,0.73,high,ND,7690,ND,ND,95.06944,NA,28,-1.108917,0.1385525,-0.6402023,0.2233855,-1.644891,0.2157381,-0.3416829,0.2002183,-0.7644128,0.1601298,-0.4990998,0.1298104,0.001227934,0.211428579,NA,NA,NA
Liberia,LBR,4,AQ_CCS,Africa,West Africa,IM,96271.5,0,0,0,0,1,0,4818977,3249000000,0.465,low,ND,600,ND,ND,ND,yes,32,-0.8509958,0.1305735,-1.340831,0.1874648,-0.1924032,0.2201839,-0.9712892,0.1684377,-0.9890524,0.1435289,-0.0432927,0.1271977,25.20409969,0.103342491,yes,NA,NA
Libya,LBY,3,No_AQ_CCS,Africa,Northern Africa,M,1617880,0,0,0.981900921,0,0.01809863,4.49E-07,6678567,48319620013,0.708,high,ND,6330,ND,ND,ND,NA,17,-1.552711,0.1633003,-1.847037,0.2074994,-2.441388,0.225094,-2.278996,0.2021265,-1.78583,0.1651548,-1.520825,0.1338716,38.47372413,0.636429928,NA,NA,NA
Saint Lucia,LCA,4,CCS,Americas,Caribbean,M,683.44,0,0,0,0,1,0,181889,1876189778,0.745,high,ND,9460,ND,ND,ND,NA,55,0.5362028,0.2344027,0.1956703,0.3493173,1.013306,0.2550432,0.2870998,0.2547005,0.5592496,0.2467966,0.8583953,0.2410059,0.024718564,0.218554218,NA,NA,yes
Sri Lanka,LKA,1,AQ_CCS,Asia,Southern Asia,IM,67867.7,0,0,0,0,0.999936134,6.39E-05,21670000,88900770858,0.78,high,ND,4060,ND,ND,ND,NA,38,-0.3355435,0.1328733,-0.2353793,0.208406,-0.1831642,0.2157381,-0.1522742,0.1817735,0.0263234,0.150461,0.0087836,0.1269559,0.137962671,0.074625654,NA,NA,NA
Lesotho,LSO,4,No_AQ_CCS,Africa,Southern Africa,I,30544.7,0,0,0.982883718,0,0.017116282,0,2108132,2791762880,0.518,low,ND,1380,ND,ND,ND,yes,41,-0.1033081,0.1712405,-0.8609057,0.19978,-0.2183286,0.2347493,-0.4965023,0.1915825,-0.3366604,0.1545821,0.0843929,0.1419463,5.891373966,ND,yes,yes,NA
Lithuania,LTU,4,AQ,Europe,Eastern Europe,IM,65321.6,0,0,0,1,0,0,2789533,53251369047,0.869,very high,ND,17350,ND,ND,ND,NA,59,0.4978957,0.1411197,1.072398,0.2132453,0.752799,0.2161918,1.113281,0.2138331,0.9573604,0.1484249,0.9233596,0.1394906,0.327791219,25.59102673,NA,NA,NA
Latvia,LVA,4,AQ,Europe,Northern Europe,IM,64797.7,0,0,0,1,0,0.00E+00,1926542,34849078086,0.854,very high,ND,16740,ND,ND,ND,NA,58,0.3285871,0.1411197,1.043452,0.2132453,0.4215345,0.2161918,1.189894,0.2138331,0.9569856,0.1484249,0.8133246,0.1394906,0.860849609,16.03636179,NA,NA,NA
China Macao SAR,MAC,4,No_AQ_CCS,Asia,Eastern Asia,M,34.898,NA,NA,NA,NA,NA,NA,631636,54545184268,NA,NA,ND,78320,ND,ND,ND,NA,NA,0.7156818,0.2530471,1.204366,0.3318715,1.262964,0.2831305,1.609498,0.3168955,1.009767,0.2096753,-0.0506621,0.2493472,0.000687067,ND,NA,NA,NA
Saint-Martin,MAF,4,No_AQ_CCS,Americas,Caribbean,M,NA,NA,NA,NA,NA,NA,NA,37264,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,96.40190061,NA,NA,NA
Morocco,MAR,1,AQ_CCS,Africa,Northern Africa,IM,674747,0,0,0.999998291,0,0,1.71E-06,36029138,1.18E+11,0.676,medium,ND,3090,ND,ND,73.75001,NA,43,-0.2164034,0.1279012,-0.2092959,0.1805988,-0.3318862,0.2157381,-0.2429393,0.1665556,-0.1384849,0.1387609,-0.6630427,0.1243278,1.62830582,0.259984461,NA,NA,NA
Monaco,MCO,4,No_AQ_CCS,Europe,Western Europe,M,4.351,0,0,1,0,0,0,38682,ND,..,other,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND,ND,1.612102,0.4116422,ND,ND,ND,ND,0.660958,0.2962991,ND,99.83199546,NA,NA,NA
Moldova Rep.,MDA,4,No_AQ_CCS,Europe,Eastern Europe,I,34114.6,0,0,0,1,0,0,3545883,11309082555,0.711,high,25.9,2990,ND,ND,ND,NA,33,-0.7267502,0.1267872,-0.4665205,0.208406,-0.3490165,0.2157381,-0.0490203,0.1817735,-0.413572,0.1381013,-0.1066419,0.1281803,0.284942172,ND,NA,yes,NA
Madagascar,MDG,2,AQ_CCS,Africa,Eastern Africa,IM,595724,0,0,0,0,0.999998589,1.41E-06,26262368,12100459087,0.521,low,ND,440,ND,ND,74.80432,yes,25,-1.000727,0.132053,-1.153121,0.1907385,-0.5190363,0.2195558,-0.7334517,0.1686924,-0.8139714,0.1435532,-0.3094514,0.1255846,10.28492344,0.746184481,yes,NA,NA
Maldives,MDV,1,AQ_CCS,Asia,Southern Asia,M,1988.35,0,0,0,0,0.712922228,0.287077772,515696,5272288443,0.719,high,ND,9310,ND,ND,ND,NA,31,-0.8930011,0.2663879,-0.4884941,0.3397982,0.0950901,0.2638418,-0.4830082,0.2906961,-0.5495973,0.2909903,-0.6604531,0.2298527,0.006055992,0.051505035,NA,NA,yes
Mexico,MEX,1,AQ_CCS,Americas,North America,IM,1965020,0,0,0.319702577,0,0.680254726,4.27E-05,126190788,1.22E+12,0.767,high,ND,9180,41.9,ND,95.37991,NA,28,-0.8628517,0.1182229,-0.153388,0.1831254,-0.572437,0.211271,0.1509804,0.1753201,-0.6737109,0.1397771,-0.0059178,0.1280941,2.876095555,21.78202051,NA,NA,NA
Marshall Islands,MHL,2,No_AQ_CCS,Oceania,Micronesia,M,1403.57,0,0,0,0,0.644753134,0.355246866,58413,211523642.4,0.698,medium,ND,4740,ND,ND,ND,NA,NA,-0.0740994,0.4364688,-1.554391,0.4794844,0.8627383,0.5967359,-1.138546,0.4021414,-0.0471537,0.3723488,1.146016,0.2962991,0,0.268803312,NA,NA,yes
Macedonia FYR,MKD,4,No_AQ_CCS,Europe,Eastern Europe,I,25207.5,NA,NA,NA,NA,NA,NA,2082958,12672131053,0.759,high,ND,5450,ND,ND,ND,NA,37,-0.3648161,0.1622154,0.0902431,0.2725042,-0.1966761,0.2277857,0.5249679,0.2257717,-0.2837728,0.1541048,-0.0092953,0.1328479,1.914228325,ND,NA,yes,NA
Mali,MLI,2,AQ_CCS,Africa,West Africa,I,1250320,0,0,0.129581547,0,0.870418453,0.00E+00,19077690,17196688920,0.427,low,ND,830,ND,ND,35.47377,yes,32,-0.695331,0.1366014,-1.004638,0.1805988,-2.05126,0.2209855,-0.5496903,0.1755035,-0.7977482,0.1458903,-0.3091827,0.1301037,11.39847104,ND,yes,yes,NA
Malta,MLT,4,AQ,Europe,Southern Europe,M,397.07,0,0,0.997811694,0,0,0.002188306,483530,14542039605,0.885,very high,ND,26220,ND,ND,94.50319,NA,54,0.5799018,0.1765664,0.968796,0.2384822,1.294193,0.2209855,1.336778,0.2642237,1.053974,0.1783303,1.123317,0.1654177,0,6.27005116,NA,NA,NA
Myanmar,MMR,1,AQ_CCS,Asia,South-Eastern Asia,IM,675363,0,0,0.074630858,0,0.925357941,1.12E-05,53708395,71214803378,0.584,medium,ND,1310,ND,ND,ND,NA,29,-0.588294,0.1370455,-1.068652,0.2218589,-1.309011,0.2195558,-0.7531742,0.1845587,-1.032579,0.1555997,-0.8873216,0.1300479,7.138884416,2.327047687,yes,NA,NA
Montenegro,MNE,4,AQ,Europe,Eastern Europe,IM,NA,0,0,0.314052409,0.685947591,0,0,622345,5452173041,0.816,very high,ND,8400,ND,ND,98.84718,NA,45,0.0227987,0.1581797,0.1311615,0.2318387,0.1080209,0.2347493,0.3625335,0.2075045,0.0987423,0.1529191,0.0801339,0.144128,1.33758134,0.001219432,NA,NA,NA
Mongolia,MNG,4,AQ,Asia,Eastern Asia,I,1566220,0,0,0,1,0,0,3170208,13009574621,0.735,high,ND,3580,28.4,ND,98.42312,NA,37,-0.4277897,0.1271622,-0.2333477,0.1954748,0.7887995,0.211271,-0.0298508,0.1753177,-0.2664937,0.1444437,0.2625469,0.1296873,40.52481302,ND,NA,yes,NA
Northern Mariana Is.,MNP,4,No_AQ_CCS,Oceania,Micronesia,M,665.733,NA,NA,NA,NA,NA,NA,56882,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33.25068645,NA,NA,NA
Mozambique,MOZ,1,AQ_CCS,Africa,Eastern Africa,IM,778552,0,0,0,0,0.99996791,3.21E-05,29495962,14457964381,0.446,low,ND,440,ND,ND,ND,yes,23,-0.7813797,0.1372914,-0.8742813,0.1819557,-0.7836707,0.2209855,-0.7263409,0.1755035,-1.043689,0.1463363,-0.4674458,0.1302225,19.47190624,2.232030793,yes,NA,NA
Mauritania,MRT,1,CCS,Africa,West Africa,IM,1041560,0,0,0.165216888,0,0.834783112,0.00E+00,4403319,5365868725,0.527,low,ND,1190,ND,ND,ND,yes,27,-0.8072538,0.1604078,-0.7266325,0.1893241,-0.6677783,0.2293836,-0.8108506,0.1831593,-0.6859449,0.1496957,-0.8540774,0.1371416,24.1154013,4.15343412,yes,NA,NA
Martinique,MTQ,4,No_AQ_CCS,Americas,Caribbean,M,1287.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.238614,0.4023822,1.108839,0.4585745,0.9858225,0.2825343,1.187921,0.4940268,0.8764146,0.4841593,ND,ND,NA,NA,NA,NA,yes
Mauritius,MUS,4,AQ,Africa,Eastern Africa,M,2180.12,0,0,0,0,1,0,1265303,14220348673,0.796,high,ND,12050,ND,ND,91.32539,NA,51,0.2696345,0.1544845,0.8760849,0.1890158,0.872838,0.2293836,1.027193,0.1831593,0.7796614,0.1484559,0.7605995,0.136355,0.003373145,0.003878225,NA,NA,yes
Malawi,MWI,1,AQ_CCS,Africa,Eastern Africa,I,96260.8,0,0,0,0,1,0,18143315,7064971176,0.485,low,ND,360,ND,ND,ND,yes,32,-0.7433892,0.1305735,-0.7286705,0.1874648,-0.3250225,0.2201839,-0.6708331,0.1684377,-0.3802995,0.1435289,-0.058092,0.1271977,9.604024921,ND,yes,yes,NA
Malaysia,MYS,1,No_AQ_CCS,Asia,South-Eastern Asia,IM,334060,0,0,0,0,0.999966407,3.36E-05,31528585,3.54E+11,0.804,very high,ND,10460,ND,ND,ND,NA,47,0.3139765,0.1299314,1.075348,0.2000997,0.2373901,0.211271,0.682474,0.180271,0.6233374,0.1454671,-0.083688,0.1310919,6.305118138,1.544620687,NA,NA,NA
Namibia,NAM,2,AQ,Africa,Southern Africa,IM,825165,0,0,0.210873741,0,0.789126259,0,2448255,14521711630,0.645,medium,ND,5250,ND,ND,ND,NA,53,0.3399599,0.1427035,0.106442,0.1932953,0.6537775,0.2209855,-0.052499,0.1919297,0.2449811,0.1557216,0.4862734,0.1302225,4.553904629,1.71419851,NA,NA,NA
New Caledonia,NCL,4,No_AQ_CCS,Oceania,Melanesia,M,20246.9,NA,NA,NA,NA,NA,NA,284060,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,96.59333534,NA,NA,yes
Niger,NER,3,No_AQ_CCS,Africa,West Africa,I,1182910,0,0,0.141731674,0,0.858268325,0,22442948,9239513530,0.377,low,ND,380,ND,ND,ND,yes,34,-0.5798146,0.1424652,-0.7660425,0.1907385,-1.260566,0.225094,-0.6404533,0.1780088,-0.5802284,0.1514907,-0.5845156,0.1303428,13.30431471,ND,yes,yes,NA
Nigeria,NGA,1,AQ_CCS,Africa,West Africa,IM,904945,0,0,0,0,1,0,195874740,3.97E+11,0.534,low,ND,1960,ND,ND,62.01601,yes,27,-1.04489,0.1273428,-1.022591,0.1805988,-2.1927,0.2157381,-0.8825297,0.1665556,-0.8809231,0.1387609,-0.4079276,0.1242243,8.673509404,0.016709309,NA,NA,NA
